id	batch	condition	fastq1	fastq2	
UPI_T2DSyst_210	UPI	T2D	UPI_T2DSyst_210_clean_R1.fq.gz	UPI_T2DSyst_210_clean_R2.fq.gz	
UPI_T2DSyst_219	UPI	T2D	UPI_T2DSyst_219_clean_R1.fq.gz	UPI_T2DSyst_219_clean_R2.fq.gz	
UPI_T2DSyst_228	UPI	T2D	UPI_T2DSyst_228_clean_R1.fq.gz	UPI_T2DSyst_228_clean_R2.fq.gz	
UPI_T2DSyst_233	UPI	T2D	UPI_T2DSyst_233_clean_R1.fq.gz	UPI_T2DSyst_233_clean_R2.fq.gz	
UPI_T2DSyst_260	UPI	T2D	UPI_T2DSyst_260_clean_R1.fq.gz	UPI_T2DSyst_260_clean_R2.fq.gz	
UPI_T2DSyst_262	UPI	T2D	UPI_T2DSyst_262_clean_R1.fq.gz	UPI_T2DSyst_262_clean_R2.fq.gz	
GSM1216763	LUND	T2D	GSM1216763_clean_R1.fastq.gz	GSM1216763_clean_R2.fastq.gz	
GSM1216781	LUND	T2D	GSM1216781_clean_R1.fastq.gz	GSM1216781_clean_R2.fastq.gz	
GSM1216784	LUND	T2D	GSM1216784_clean_R1.fastq.gz	GSM1216784_clean_R2.fastq.gz	
GSM1216794	LUND	T2D	GSM1216794_clean_R1.fastq.gz	GSM1216794_clean_R2.fastq.gz	
GSM1216795	LUND	T2D	GSM1216795_clean_R1.fastq.gz	GSM1216795_clean_R2.fastq.gz	
GSM1216798	LUND	T2D	GSM1216798_clean_R1.fastq.gz	GSM1216798_clean_R2.fastq.gz	
GSM1216807	LUND	T2D	GSM1216807_clean_R1.fastq.gz	GSM1216807_clean_R2.fastq.gz	
GSM1216808	LUND	T2D	GSM1216808_clean_R1.fastq.gz	GSM1216808_clean_R2.fastq.gz	
GSM1216830	LUND	T2D	GSM1216830_clean_R1.fastq.gz	GSM1216830_clean_R2.fastq.gz	
GSM1216834	LUND	T2D	GSM1216834_clean_R1.fastq.gz	GSM1216834_clean_R2.fastq.gz	
GSM1216836	LUND	T2D	GSM1216836_clean_R1.fastq.gz	GSM1216836_clean_R2.fastq.gz	
CTL010911	ULB	ND_T2D	CTL010911_clean_R1.fastq.gz	CTL010911_clean_R2.fastq.gz	
CTL061011ab	ULB	ND_T2D	CTL061011ab_clean_R1.fastq.gz	CTL061011ab_clean_R2.fastq.gz	
CTL101208	ULB	ND_T2D	CTL101208_clean_R1.fastq.gz	CTL101208_clean_R2.fastq.gz	
CTL140912	ULB	ND_T2D	CTL140912_clean_R1.fastq.gz	CTL140912_clean_R2.fastq.gz	
CTL150711	ULB	ND_T2D	CTL150711_clean_R1.fastq.gz	CTL150711_clean_R2.fastq.gz	
CTL160606	ULB	ND_T2D	CTL160606_clean_R1.fastq.gz	CTL160606_clean_R2.fastq.gz	
CTL190110	ULB	ND_T2D	CTL190110_clean_R1.fastq.gz	CTL190110_clean_R2.fastq.gz	
CTL190512	ULB	ND_T2D	CTL190512_clean_R1.fastq.gz	CTL190512_clean_R2.fastq.gz	
